date,price,return
30/10/2017,30006.5,0.006083821
31/10/2017,30169,0.005400882
01/11/2017,30085,-0.002788198
02/11/2017,29660,-0.014227372
03/11/2017,29699,0.001314038
06/11/2017,29918,0.007346931
07/11/2017,29905.5,-0.000417896
08/11/2017,29790,-0.003869643
09/11/2017,29857,0.002246551
10/11/2017,29960.5,0.003460529
13/11/2017,29788,-0.00577422
14/11/2017,29903,0.003853182
15/11/2017,29914.5,0.000384503
16/11/2017,29967.5,0.001770148
17/11/2017,30011.5,0.00146718
20/11/2017,30061,0.001648009
21/11/2017,30074,0.000432361
22/11/2017,30282.5,0.006908977
23/11/2017,30247,-0.001172982
24/11/2017,30311.5,0.002130172
27/11/2017,30257,-0.001799616
28/11/2017,30302.5,0.001502655
29/11/2017,30466,0.00538109
30/11/2017,30731.5,0.008676879
01/12/2017,30599,-0.004320859
04/12/2017,30619,0.000653403
05/12/2017,30539,-0.002616176
06/12/2017,30420,-0.003904268
07/12/2017,30604.5,0.00604677
08/12/2017,30412.5,-0.006293349
11/12/2017,30293.5,-0.00392054
12/12/2017,30243.5,-0.001651883
13/12/2017,30480,0.007789445
14/12/2017,30509,0.000950991
15/12/2017,30263,-0.008095878
18/12/2017,30399,0.004483869
19/12/2017,30404,0.000164466
20/12/2017,30380.5,-0.000773223
21/12/2017,30400.5,0.0006581
22/12/2017,30348.5,-0.001711963
25/12/2017,30362,0.000444734
26/12/2017,30371.5,0.000312842
27/12/2017,30425,0.00175997
28/12/2017,30531,0.003477922
29/12/2017,30690,0.005194308
01/01/2018,30665,-0.00081493
02/01/2018,30859,0.006306503
03/01/2018,30692,-0.005426408
04/01/2018,30779,0.002830605
05/01/2018,30818,0.001266296
08/01/2018,30812,-0.00019471
09/01/2018,30749,-0.002046751
10/01/2018,30674,-0.002442083
11/01/2018,30743,0.002246936
12/01/2018,31179,0.014082465
15/01/2018,31320.5,0.004528044
16/01/2018,31323.5,9.58E-05
17/01/2018,31403,0.002534815
18/01/2018,31556,0.004860315
19/01/2018,31457.5,-0.003126317
22/01/2018,31767,0.009790587
23/01/2018,31797,0.000943931
24/01/2018,32346.5,0.017133878
25/01/2018,32117,-0.007120338
26/01/2018,32182,0.002021805
29/01/2018,31964,-0.006797021
30/01/2018,32126,0.005055402
31/01/2018,32229,0.003200997
01/02/2018,32395,0.005137422
02/02/2018,32071.5,-0.010036305
05/02/2018,31699,-0.011682651
06/02/2018,31678,-0.000662701
07/02/2018,31512,-0.005254008
08/02/2018,31582,0.002218912
09/02/2018,31414.5,-0.005317768
12/02/2018,31418,0.000111407
13/02/2018,31559,0.004477833
14/02/2018,31800,0.00760748
15/02/2018,32028,0.00714423
16/02/2018,31901,-0.003973163
19/02/2018,31816,-0.002668049
20/02/2018,31794,-0.000691715
21/02/2018,31618,-0.005551014
22/02/2018,31726,0.003409955
23/02/2018,31762.5,0.001149815
26/02/2018,31767,0.000141666
27/02/2018,31643.5,-0.003895259
28/02/2018,31315,-0.01043554
01/03/2018,31341,0.000829929
02/03/2018,31421.5,0.002565227
05/03/2018,31529.5,0.003431244
06/03/2018,31621.5,0.002913653
07/03/2018,31638,0.000521661
08/03/2018,31432,-0.006532448
09/03/2018,31522,0.002859232
12/03/2018,31647,0.003957643
13/03/2018,31779.5,0.00417807
14/03/2018,31784.5,0.000157322
15/03/2018,31732,-0.001653114
16/03/2018,31733.5,4.73E-05
19/03/2018,31928.5,0.006126123
20/03/2018,31880,-0.001520174
21/03/2018,32204.5,0.01012734
22/03/2018,32132,-0.002253776
23/03/2018,32228.5,0.002998736
26/03/2018,32457,0.007064982
27/03/2018,32299.5,-0.004864386
28/03/2018,32123.5,-0.005463901
29/03/2018,31973.5,-0.004680415
30/03/2018,31951.5,-0.000688307
02/04/2018,32013.5,0.001938561
03/04/2018,32067.5,0.001685367
04/04/2018,32128,0.001884868
05/04/2018,31947.5,-0.005633994
06/04/2018,32134.5,0.005836289
09/04/2018,32208,0.00228465
10/04/2018,32308.5,0.003115485
11/04/2018,32309,1.55E-05
12/04/2018,32422.5,0.003506797
13/04/2018,32450,0.000847817
16/04/2018,32656.5,0.006343474
17/04/2018,32537,-0.003666014
18/04/2018,32346,-0.005887538
19/04/2018,32099,-0.007665489
20/04/2018,31891,-0.006501039
23/04/2018,31746,-0.004557105
24/04/2018,31824,0.002453989
25/04/2018,31719.5,-0.003289088
26/04/2018,31695.5,-0.000756919
27/04/2018,31368,-0.01038645
30/04/2018,31348.5,-0.000621846
01/05/2018,30990.5,-0.011485713
02/05/2018,30911,-0.002568598
03/05/2018,30902.5,-0.000275021
04/05/2018,30811.5,-0.00294909
07/05/2018,30867.5,0.001815854
08/05/2018,30849.5,-0.000583308
09/05/2018,30855,0.000178269
10/05/2018,30785,-0.002271253
11/05/2018,30839,0.001752564
14/05/2018,30865,0.000842733
15/05/2018,30755,-0.003570273
16/05/2018,30715.5,-0.001285169
17/05/2018,30782.5,0.002178934
18/05/2018,30700,-0.002683692
21/05/2018,30583.5,-0.003802007
22/05/2018,30592,0.000277889
23/05/2018,30394,-0.006493316
24/05/2018,30479,0.002792701
25/05/2018,30304.5,-0.005741706
28/05/2018,30374,0.002290763
29/05/2018,30267.5,-0.00351245
30/05/2018,30377.5,0.003627673
31/05/2018,30333,-0.001465974
01/06/2018,30429.5,0.003176304
04/06/2018,30388.5,-0.001348285
05/06/2018,30583.5,0.0063964
06/06/2018,30590,0.00021251
07/06/2018,30606,0.00052291
08/06/2018,30568.5,-0.001226001
